day_of_week,trip_id,date
Monday,1,09/09/2024
Monday,2,09/09/2024
Monday,3,09/09/2024
Monday,4,09/09/2024
Monday,5,09/09/2024
Monday,6,09/09/2024
Monday,7,09/09/2024
Monday,8,09/09/2024
Monday,10,09/09/2024
Monday,11,09/09/2024
Monday,12,09/09/2024
Monday,13,09/09/2024
Monday,15,09/09/2024
Monday,16,09/09/2024
Monday,17,09/09/2024
Monday,18,09/09/2024
Monday,20,09/09/2024
Monday,21,09/09/2024
Monday,22,09/09/2024
Monday,23,09/09/2024
Monday,24,09/09/2024
Monday,25,09/09/2024
Tuesday,1,09/10/2024
Tuesday,2,09/10/2024
Tuesday,4,09/10/2024
Tuesday,5,09/10/2024
Tuesday,6,09/10/2024
Tuesday,7,09/10/2024
Tuesday,9,09/10/2024
Tuesday,10,09/10/2024
Tuesday,11,09/10/2024
Tuesday,12,09/10/2024
Tuesday,14,09/10/2024
Tuesday,15,09/10/2024
Tuesday,16,09/10/2024
Tuesday,17,09/10/2024
Tuesday,19,09/10/2024
Tuesday,20,09/10/2024
Tuesday,21,09/10/2024
Tuesday,22,09/10/2024
Tuesday,24,09/10/2024
Tuesday,25,09/10/2024
Wednesday,1,09/11/2024
Wednesday,2,09/11/2024
Wednesday,3,09/11/2024
Wednesday,6,09/11/2024
Wednesday,7,09/11/2024
Wednesday,8,09/11/2024
Wednesday,11,09/11/2024
Wednesday,12,09/11/2024
Wednesday,13,09/11/2024
Wednesday,16,09/11/2024
Wednesday,17,09/11/2024
Wednesday,18,09/11/2024
Wednesday,21,09/11/2024
Wednesday,22,09/11/2024
Wednesday,23,09/11/2024
Thursday,1,09/12/2024
Thursday,2,09/12/2024
Thursday,3,09/12/2024
Thursday,4,09/12/2024
Thursday,6,09/12/2024
Thursday,7,09/12/2024
Thursday,8,09/12/2024
Thursday,9,09/12/2024
Thursday,11,09/12/2024
Thursday,12,09/12/2024
Thursday,13,09/12/2024
Thursday,14,09/12/2024
Thursday,16,09/12/2024
Thursday,17,09/12/2024
Thursday,18,09/12/2024
Thursday,19,09/12/2024
Thursday,21,09/12/2024
Thursday,22,09/12/2024
Thursday,23,09/12/2024
Thursday,24,09/12/2024
Friday,1,09/13/2024
Friday,2,09/13/2024
Friday,3,09/13/2024
Friday,4,09/13/2024
Friday,5,09/13/2024
Friday,6,09/13/2024
Friday,7,09/13/2024
Friday,8,09/13/2024
Friday,9,09/13/2024
Friday,10,09/13/2024
Friday,11,09/13/2024
Friday,12,09/13/2024
Friday,13,09/13/2024
Friday,14,09/13/2024
Friday,15,09/13/2024
Friday,16,09/13/2024
Friday,17,09/13/2024
Friday,18,09/13/2024
Friday,19,09/13/2024
Friday,20,09/13/2024
Friday,21,09/13/2024
Friday,22,09/13/2024
Friday,23,09/13/2024
Friday,24,09/13/2024
Friday,25,09/13/2024
Monday,26,09/09/2024
Monday,27,09/09/2024
Monday,29,09/09/2024
Monday,30,09/09/2024
Monday,32,09/09/2024
Monday,33,09/09/2024
Monday,35,09/09/2024
Monday,36,09/09/2024
Monday,38,09/09/2024
Monday,39,09/09/2024
Monday,41,09/09/2024
Monday,42,09/09/2024
Monday,44,09/09/2024
Monday,45,09/09/2024
Monday,47,09/09/2024
Monday,48,09/09/2024
Monday,50,09/09/2024
Monday,51,09/09/2024
Monday,53,09/09/2024
Monday,54,09/09/2024
Tuesday,26,09/10/2024
Tuesday,27,09/10/2024
Tuesday,28,09/10/2024
Tuesday,29,09/10/2024
Tuesday,30,09/10/2024
Tuesday,32,09/10/2024
Tuesday,33,09/10/2024
Tuesday,34,09/10/2024
Tuesday,35,09/10/2024
Tuesday,36,09/10/2024
Tuesday,38,09/10/2024
Tuesday,39,09/10/2024
Tuesday,40,09/10/2024
Tuesday,41,09/10/2024
Tuesday,42,09/10/2024
Tuesday,44,09/10/2024
Tuesday,45,09/10/2024
Tuesday,46,09/10/2024
Tuesday,47,09/10/2024
Tuesday,48,09/10/2024
Tuesday,50,09/10/2024
Tuesday,51,09/10/2024
Tuesday,52,09/10/2024
Tuesday,53,09/10/2024
Tuesday,54,09/10/2024
Wednesday,27,09/11/2024
Wednesday,29,09/11/2024
Wednesday,30,09/11/2024
Wednesday,33,09/11/2024
Wednesday,35,09/11/2024
Wednesday,36,09/11/2024
Wednesday,39,09/11/2024
Wednesday,41,09/11/2024
Wednesday,42,09/11/2024
Wednesday,45,09/11/2024
Wednesday,47,09/11/2024
Wednesday,48,09/11/2024
Wednesday,51,09/11/2024
Wednesday,53,09/11/2024
Wednesday,54,09/11/2024
Thursday,27,09/12/2024
Thursday,29,09/12/2024
Thursday,30,09/12/2024
Thursday,33,09/12/2024
Thursday,35,09/12/2024
Thursday,36,09/12/2024
Thursday,39,09/12/2024
Thursday,41,09/12/2024
Thursday,42,09/12/2024
Thursday,45,09/12/2024
Thursday,47,09/12/2024
Thursday,48,09/12/2024
Thursday,51,09/12/2024
Thursday,53,09/12/2024
Thursday,54,09/12/2024
Friday,27,09/13/2024
Friday,28,09/13/2024
Friday,29,09/13/2024
Friday,30,09/13/2024
Friday,31,09/13/2024
Friday,33,09/13/2024
Friday,34,09/13/2024
Friday,35,09/13/2024
Friday,36,09/13/2024
Friday,37,09/13/2024
Friday,39,09/13/2024
Friday,40,09/13/2024
Friday,41,09/13/2024
Friday,42,09/13/2024
Friday,43,09/13/2024
Friday,45,09/13/2024
Friday,46,09/13/2024
Friday,47,09/13/2024
Friday,48,09/13/2024
Friday,49,09/13/2024
Friday,51,09/13/2024
Friday,52,09/13/2024
Friday,53,09/13/2024
Friday,54,09/13/2024
Friday,55,09/13/2024
